# In this generated mirror the head column reads upstream:<hash>,
# for the reason verification-log.tsv's header gives.
utc	head	job	passed	failed	skipped	notes
2026-09-10T04:01Z	upstream:e0d0e3b	all	8	1	3	tree-dirty=8,pandoc=no,tex=no
2026-09-10T04:01Z	upstream:e0d0e3b	all	9	0	3	tree-dirty=10,pandoc=no,tex=no
2026-09-10T04:03Z	upstream:e0d0e3b	all	9	0	3	tree-dirty=14,pandoc=no,tex=no
2026-09-10T04:10Z	upstream:74fdddf	all	10	0	3	tree-dirty=3,pandoc=no,tex=no
2026-09-17T18:27Z	upstream:5b78c23	all	22	0	1	tree-dirty=5,pandoc=no,tex=tectonic
2026-09-17T18:38Z	upstream:d43df62	all	22	0	1	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-17T23:01Z	upstream:2b3eda0	all	22	0	1	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-18T02:48Z	upstream:83c995d	all	22	0	1	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T16:39Z	abc0791	all	16	0	7	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T17:08Z	895d6ca	all	15	1	7	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T17:15Z	882a4e0	all	16	0	7	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T19:00Z	e2193ec	all	16	0	7	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T20:38Z	f3d99a1	all	15	1	7	tree-dirty=7,pandoc=no,tex=tectonic
2026-09-19T21:55Z	5f99411	all	16	0	7	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T22:54Z	d609e9a	all	16	0	7	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T23:21Z	686e379	all	16	0	7	tree-dirty=0,pandoc=no,tex=tectonic
2026-09-19T23:59Z	c966a43	all	16	0	7	tree-dirty=0,pandoc=no,tex=tectonic
