stratum,path,bit,draw,abs_bit,cycle,cls,out_ok,hang,cnt_ok,cnt_err,gave_up_early,never_gives_up,strap_ok,noboot_set,valid_lost,record_ok,tmr_report
cnt,g_prot_plain.plain,0,0,10,56,SDC,False,,False,1,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,0,1,10,40,SDC,False,,False,1,False,True,True,False,False,True,0
cnt,g_prot_plain.plain,0,2,10,76,SDC,False,,False,1,False,True,True,False,False,True,0
cnt,g_prot_plain.plain,0,3,10,77,SDC,False,,False,1,False,True,True,False,False,True,0
cnt,g_prot_plain.plain,1,0,11,45,SDC,False,,False,2,True,False,True,False,False,True,0
cnt,g_prot_plain.plain,1,1,11,48,SDC,False,,False,2,True,False,True,False,False,True,0
cnt,g_prot_plain.plain,1,2,11,76,SDC,False,,False,2,False,True,True,False,False,True,0
cnt,g_prot_plain.plain,1,3,11,76,SDC,False,,False,2,False,True,True,False,False,True,0
cnt,g_prot_plain.plain,2,0,12,61,SDC,False,,False,4,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,2,1,12,77,SDC,False,,False,4,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,2,2,12,38,SDC,False,,False,4,True,False,True,False,False,True,0
cnt,g_prot_plain.plain,2,3,12,86,SDC,False,,False,4,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,3,0,13,69,SDC,False,,False,8,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,3,1,13,57,SDC,False,,False,8,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,3,2,13,18,SDC,False,,False,8,True,False,True,False,False,True,0
cnt,g_prot_plain.plain,3,3,13,86,SDC,False,,False,8,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,4,0,14,60,SDC,False,,False,16,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,4,1,14,62,SDC,False,,False,16,False,False,True,False,False,True,0
cnt,g_prot_plain.plain,4,2,14,15,SDC,False,,False,16,True,False,True,False,False,True,0
cnt,g_prot_plain.plain,4,3,14,83,SDC,False,,False,16,False,False,True,False,False,True,0
