stratum,path,bit,cycle,cls,out_ok,hang,clock_ok,clock_err,deadline_ok,deadline_shift,ecc_events,final_ok
mtime,mtime_q,0,210,SDC,False,,False,1,True,0,0,False
mtime,mtime_q,0,204,SDC,False,,False,1,True,0,0,False
mtime,mtime_q,1,146,SDC,False,,False,2,False,2,0,True
mtime,mtime_q,1,206,SDC,False,,False,2,True,0,0,False
mtime,mtime_q,2,57,SDC,False,,False,4,False,4,0,True
mtime,mtime_q,2,70,SDC,False,,False,4,False,4,0,True
mtime,mtime_q,3,56,SDC,False,,False,8,False,8,0,True
mtime,mtime_q,3,208,SDC,False,,False,8,True,0,0,False
mtime,mtime_q,4,125,SDC,False,,False,16,False,16,0,True
mtime,mtime_q,4,201,SDC,False,,False,16,True,0,0,False
mtime,mtime_q,5,129,SDC,False,,False,32,False,32,0,True
mtime,mtime_q,5,134,SDC,False,,False,32,False,32,0,True
mtime,mtime_q,6,124,SDC,False,,False,64,False,64,0,True
mtime,mtime_q,6,105,SDC,False,,False,64,False,64,0,True
mtime,mtime_q,7,201,SDC,False,,False,128,True,0,0,False
mtime,mtime_q,7,145,SDC,False,,False,128,False,46,0,False
mtime,mtime_q,8,85,SDC,False,,False,256,False,256,0,True
mtime,mtime_q,8,18,SDC,False,,False,256,False,173,0,False
mtime,mtime_q,9,133,SDC,False,,False,512,False,58,0,False
mtime,mtime_q,9,104,SDC,False,,False,512,False,87,0,False
mtime,mtime_q,10,59,SDC,False,,False,1024,False,1024,0,True
mtime,mtime_q,10,211,SDC,False,,False,1024,True,0,0,False
mtime,mtime_q,11,46,SDC,False,,False,2048,False,145,0,False
mtime,mtime_q,11,38,SDC,False,,False,2048,False,153,0,False
mtime,mtime_q,12,100,SDC,False,,False,4096,False,91,0,False
mtime,mtime_q,12,211,SDC,False,,False,4096,False,0,0,False
mtime,mtime_q,13,204,HANG,False,mtip never cleared,False,0,False,0,0,False
mtime,mtime_q,13,83,SDC,False,,False,8192,False,108,0,False
mtime,mtime_q,14,72,SDC,False,,False,16384,False,119,0,False
mtime,mtime_q,14,137,SDC,False,,False,16384,False,54,0,False
mtime,mtime_q,15,166,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,15,5,HANG,False,the deadline never arrived,False,32768,False,,0,False
mtime,mtime_q,16,128,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,16,35,HANG,False,the deadline never arrived,False,65536,False,,0,False
mtime,mtime_q,17,106,SDC,False,,False,131072,False,85,0,False
mtime,mtime_q,17,167,SDC,False,,False,131072,False,24,0,False
mtime,mtime_q,18,149,SDC,False,,False,262144,False,42,0,False
mtime,mtime_q,18,42,SDC,False,,False,262144,False,149,0,False
mtime,mtime_q,19,143,SDC,False,,False,524288,False,48,0,False
mtime,mtime_q,19,199,HANG,False,mtip never cleared,False,0,False,0,0,False
mtime,mtime_q,20,136,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,20,99,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,21,120,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,21,162,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,22,181,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,22,38,HANG,False,the deadline never arrived,False,4194304,False,,0,False
mtime,mtime_q,23,69,HANG,False,the deadline never arrived,False,8388608,False,,0,False
mtime,mtime_q,23,169,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,24,91,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,24,206,SDC,False,,False,16777216,True,0,0,False
mtime,mtime_q,25,195,HANG,False,mtip never cleared,False,0,False,0,0,False
mtime,mtime_q,25,179,SDC,False,,False,33554432,False,12,0,False
mtime,mtime_q,26,150,SDC,False,,False,67108864,False,41,0,False
mtime,mtime_q,26,66,SDC,False,,False,67108864,False,125,0,False
mtime,mtime_q,27,146,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,27,136,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,28,18,HANG,False,the deadline never arrived,False,268435456,False,,0,False
mtime,mtime_q,28,73,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,29,61,HANG,False,the deadline never arrived,False,536870912,False,,0,False
mtime,mtime_q,29,170,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,30,192,SDC,False,,False,1073741824,True,0,0,False
mtime,mtime_q,30,169,SDC,False,,False,1073741824,False,22,0,False
mtime,mtime_q,31,132,SDC,False,,False,2147483648,False,59,0,False
mtime,mtime_q,31,90,SDC,False,,False,2147483648,False,101,0,False
mtime,mtime_q,32,201,HANG,False,mtip never cleared,False,0,False,0,0,False
mtime,mtime_q,32,139,SDC,False,,False,4294967296,False,52,0,False
mtime,mtime_q,33,207,SDC,False,,False,8589934592,False,0,0,False
mtime,mtime_q,33,7,SDC,False,,False,8589934592,False,184,0,False
mtime,mtime_q,34,121,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,34,163,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,35,106,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,35,177,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,36,154,SDC,False,,False,68719476736,False,37,0,False
mtime,mtime_q,36,206,SDC,False,,False,68719476736,False,0,0,False
mtime,mtime_q,37,15,HANG,False,the deadline never arrived,False,137438953472,False,,0,False
mtime,mtime_q,37,150,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,38,181,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,38,46,HANG,False,the deadline never arrived,False,274877906944,False,,0,False
mtime,mtime_q,39,181,SDC,False,,False,549755813888,False,10,0,False
mtime,mtime_q,39,8,SDC,False,,False,549755813888,False,183,0,False
mtime,mtime_q,40,119,SDC,False,,False,1099511627776,False,72,0,False
mtime,mtime_q,40,132,SDC,False,,False,1099511627776,False,59,0,False
mtime,mtime_q,41,204,SDC,False,,False,2199023255552,True,0,0,False
mtime,mtime_q,41,160,HANG,False,the deadline never arrived,False,0,False,,0,False
mtime,mtime_q,42,116,SDC,False,,False,4398046511104,False,75,0,False
